Product Name,Product ID,Provider Name,Manufacture Date,Provider Price (USD),Taxes (USD),Tax Rate (%),Description,Product Sale
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2022-09-11,22.92,2.75,12,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
USB-C Hub 7-Port,PRD-003,InnovateTech Corp.,2023-06-21,22.4,1.79,8,"7-port USB-C hub with 4K HDMI, SD card reader, and 100W PD pass-through.",
4K Monitor 27in,PRD-004,TechSource Inc.,2023-01-08,379.42,37.94,10,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2023-02-01,381.19,38.12,10,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2023-11-27,390.54,82.01,21,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2023-10-09,392.98,19.65,5,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2022-12-04,365.67,69.48,19,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2023-01-31,375.04,71.26,19,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2023-11-04,408.64,65.38,16,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2022-06-03,377.47,60.4,16,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2023-11-11,367.99,36.8,10,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
4K Monitor 27in,PRD-004,TechSource Inc.,2022-11-14,408.8,77.67,19,"27-inch 4K UHD IPS monitor with HDR400, 144Hz refresh rate, and USB-C connectivity.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2023-11-10,65.06,10.41,16,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2022-03-28,64.37,7.72,12,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2023-10-21,68.44,14.37,21,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2022-05-11,67.41,14.16,21,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2023-06-24,62.54,11.88,19,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2023-03-10,66.05,3.3,5,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2023-01-07,64.36,5.15,8,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2022-12-16,69.76,8.37,12,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2022-07-16,63.66,5.09,8,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Mechanical Keyboard K5,PRD-005,PrimeParts Co.,2022-06-08,62.4,13.1,21,"Tactile mechanical keyboard with Cherry MX switches, RGB backlight, and aluminum frame.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2022-04-14,32.51,5.2,16,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2023-06-24,30.56,3.06,10,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2023-09-25,30.95,3.71,12,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2022-06-07,31.07,6.52,21,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2023-10-02,33.77,2.7,8,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2023-03-25,30.58,3.06,10,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2023-11-24,33.39,4.01,12,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2023-09-18,31.59,6,19,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2023-04-05,31.37,2.51,8,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Webcam HD 1080p,PRD-006,GlobalElectronics Ltd.,2022-11-13,34.42,7.23,21,"Full HD 1080p webcam with built-in stereo mic, autofocus, and universal clip mount.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2023-04-26,101.41,8.11,8,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2023-01-12,98.63,15.78,16,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2023-03-28,95.95,9.6,10,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2023-01-27,96.46,11.58,12,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2022-06-15,100.34,21.07,21,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2023-09-12,91.96,9.2,10,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2022-02-23,98.17,20.62,21,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2023-01-16,97.1,4.86,5,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2023-06-13,100.76,10.08,10,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
Noise-Canceling Headphones,PRD-007,FutureTech Supply,2022-03-27,99.67,9.97,10,"Over-ear headphones with active noise cancellation, 30hr battery, and foldable design.",
SSD 1TB,PRD-008,EuroComponents GmbH,2023-04-06,42.71,3.42,8,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2023-03-24,38.48,3.08,8,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2023-04-07,42.6,2.13,5,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2023-03-01,38.28,6.12,16,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2023-01-18,39.23,1.96,5,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2023-01-19,39.17,3.92,10,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2022-04-12,42.36,8.05,19,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2022-12-10,42.12,3.37,8,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2022-02-09,39.49,8.29,21,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
SSD 1TB,PRD-008,EuroComponents GmbH,2023-04-29,41.62,3.33,8,"1TB SATA SSD with 560MB/s read speed, 3D NAND technology, and 5-year warranty.",
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2023-04-26,72.6,3.63,5,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2022-03-23,68.58,5.49,8,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2022-06-03,73.54,13.97,19,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2023-09-16,73.34,3.67,5,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2022-10-23,70.62,3.53,5,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2022-02-18,70.63,13.42,19,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2023-09-30,72.68,3.63,5,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2023-05-27,73.99,3.7,5,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2023-10-10,73.22,5.86,8,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
RAM DDR5 32GB,PRD-009,AsiaElec Trading,2022-05-28,71.13,3.56,5,DDR5 32GB desktop RAM kit at 6000MHz with XMP 3.0 support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2023-09-22,478.02,76.48,16,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2023-03-03,467.69,88.86,19,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2022-03-29,488.67,48.87,10,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2022-03-11,515.49,82.48,16,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2023-06-04,505.07,80.81,16,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2023-07-22,457.27,96.03,21,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2023-04-27,458.72,55.05,12,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2023-01-18,471.83,23.59,5,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2023-01-01,505.2,50.52,10,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Graphics Card RTX 4070,PRD-010,NorthTech Distributors,2022-09-04,501.74,95.33,19,NVIDIA RTX 4070 12GB GDDR6X graphics card with DLSS 3 and ray tracing support.,
Office Chair ErgoMax,PRD-011,FutureTech Supply,2022-04-17,189.05,35.92,19,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2022-12-07,174.12,17.41,10,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2023-07-14,178.92,33.99,19,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2022-06-29,190.43,36.18,19,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2023-04-21,193.95,23.27,12,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2023-10-09,175.27,14.02,8,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2022-03-06,187.76,22.53,12,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2022-02-07,177.87,8.89,5,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2022-07-24,191.73,19.17,10,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Office Chair ErgoMax,PRD-011,FutureTech Supply,2022-11-14,183.06,38.44,21,"Ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2023-07-11,15.17,0.76,5,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2023-10-25,14.62,1.46,10,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2022-02-18,15.94,1.59,10,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2022-10-07,14.49,1.45,10,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2023-03-24,15.98,3.04,19,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2023-03-27,15.99,1.92,12,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2022-12-14,16.15,1.94,12,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2023-05-25,14.97,3.14,21,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2023-06-16,14.77,0.74,5,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Desk Lamp LED,PRD-012,InnovateTech Corp.,2023-03-11,14.4,2.3,16,"LED desk lamp with 5 color temperatures, USB charging port, and touch dimmer control.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2022-07-04,25.52,2.55,10,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2022-04-16,24.01,4.56,19,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2022-10-30,24.75,3.96,16,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2023-03-13,24.29,2.91,12,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2022-12-26,25.2,4.79,19,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2022-12-28,25.75,3.09,12,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2022-10-09,25.83,5.42,21,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2022-02-28,23.99,4.56,19,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2023-02-20,24.93,5.24,21,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Laptop Stand Aluminum,PRD-013,AsiaElec Trading,2023-11-27,24.27,1.21,5,"Adjustable aluminum laptop stand, compatible with 10-17 inch laptops, foldable design.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2022-05-27,8.48,1.61,19,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2023-03-25,7.64,0.38,5,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2022-08-30,8.41,0.84,10,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2023-01-06,8,1.28,16,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2022-02-03,8.23,1.56,19,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2023-04-06,8.59,0.86,10,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2023-03-31,8.39,1.34,16,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2022-05-21,8.15,0.98,12,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2022-11-18,8.28,0.66,8,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Cable Manager Pro,PRD-014,PrimeParts Co.,2022-04-27,7.63,0.61,8,"Cable management system with velcro straps, adhesive clips, and under-desk tray.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2023-05-27,45.78,7.32,16,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2022-05-01,44.28,4.43,10,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2023-04-02,44.01,7.04,16,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2022-10-20,46.81,5.62,12,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2022-07-24,43.47,9.13,21,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2022-03-17,45.39,8.62,19,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2023-04-01,48.58,10.2,21,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2023-11-30,48.41,4.84,10,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2023-11-15,44.78,2.24,5,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Smart Speaker Echo,PRD-015,TechSource Inc.,2023-07-18,45.92,4.59,10,"Smart speaker with voice assistant, 360 degree audio, and smart home integration.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2022-06-11,135.53,25.75,19,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2023-10-16,126.44,12.64,10,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2023-06-05,127.29,10.18,8,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2022-05-23,127.5,15.3,12,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2022-01-27,129.6,20.74,16,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2023-01-13,131.4,21.02,16,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2022-05-13,133.84,6.69,5,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2022-03-09,128.73,24.46,19,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2023-05-06,132.38,27.8,21,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Printer Laser BW,PRD-016,EuroComponents GmbH,2023-02-24,137.41,6.87,5,"Monochrome laser printer, 35 ppm, automatic duplex, with network and WiFi connectivity.",
Scanner Portable A4,PRD-017,GlobalElectronics Ltd.,2022-05-09,59.2,11.25,19,"Portable A4 document scanner with 600dpi resolution, USB and wireless connectivity.",
Scanner Portable A4,PRD-017,GlobalElectronics Ltd.,2022-03-17,55.47,10.54,19,"Portable A4 document scanner with 600dpi resolution, USB and wireless connectivity.",
Scanner Portable A4,PRD-017,GlobalElectronics Ltd.,2023-06-14,54.71,11.49,21,"Portable A4 document scanner with 600dpi resolution, USB and wireless connectivity.",
Scanner Portable A4,PRD-017,GlobalElectronics Ltd.,2023-07-19,56.82,4.55,8,"Portable A4 document scanner with 600dpi resolution, USB and wireless connectivity.",
Scanner Portable A4,PRD-017,GlobalElectronics Ltd.,2022-05-13,55.34,11.62,21,"Portable A4 document scanner with 600dpi resolution, USB and wireless connectivity.",
Scanner Portable A4,PRD-017,GlobalElectronics Ltd.,2022-02-26,58.19,9.31,16,"Portable A4 document scanner with 600dpi resolution, USB and wireless connectivity.",
